id,created_at,post_id,user_id,vote
5,2025-03-11 17:33:36.593755+00,11,a0a7703d-1051-441e-8135-d54e9f1e2cb9,1
8,2025-06-14 19:25:44.884876+00,12,a0a7703d-1051-441e-8135-d54e9f1e2cb9,1
